"phrase", "occurances"
23445-pentachlorobiphenyl, 3
233445-hexachlorobiphenyl, 2
alkylphenols, 1
bisphenols, 1
carbamate pesticides, 1
and dioxin-like, 1
dioxin-like compounds, 1
dioxins and, 1
dithiocarbamate pesticides, 1
flame retardants, 1
mono-ortho pcbs, 1
coplanar pcbs, 1
non-ortho coplanar, 1
organochlorine pesticides, 1
others, 1
pbdes, 1
pcdds, 1
pcdfs, 1
and herbicides, 1
pesticides and, 1
phenoxy herbicides, 1
phthalates, 1
and plastics, 1
plasticizers and, 1
pyrethroid pesticides, 1
styrenes, 1
triazine herbicides, 1
1234678-heptachlorodibenzodioxin, 1
1234678-heptachlorodibenzofuran, 1
12346789-octachlorodibenzo-p-dioxin, 1
12346789-octachlorodibenzofuran, 1
123478-hexachlorodibenzodioxin, 1
123478-hexachlorodibenzofuran, 1
1234789-heptachlorodibenzofuran, 1
123678-hexachlorodibenzodioxin, 1
123678-hexachlorodibenzofuran, 1
12378-pentachlorodibenzodioxin, 1
12378-pentachlorodibenzofuran, 1
123789-hexachlorodibenzodioxin, 1
123789-hexachlorodibenzofuran, 1
2244-tetrabromodiphenyl ether, 1
22445-pentabromodiphenyl ether, 1
224456-hexabromodiphenyl ether, 1
2245-tetrabromodiphenyl ether, 1
2334455-heptachlorobiphenyl, 1
23434-pentachlorobiphenyl, 1
234678-hexachlorodibenzofuran, 1
23478-pentachlorodibenzofuran, 1
2378-tetrachlorodibenzodioxin, 1
2378-tetrachlorodibenzofuran, 1
234455-hexachlorobiphenyl, 1
24-dichlorophenol, 1
24-dichlorophenoxyacetate, 1
245-trichlorophenoxyacetic acid, 1
33445-pentachlorobiphenyl, 1
3434-tetrachlorobiphenyl, 1
3445-tetrachlorobiphenyl, 1
345345-hexachlorobiphenyl, 1
4-octylphenol, 1
alachlor, 1
aldicarb, 1
aldrin, 1
alpha-hexachlorocyclohexane, 1
amitrole, 1
atrazine, 1
benlate, 1
bisphenol a, 1
butylbenzyl phthalate, 1
carbaryl, 1
chlordane, 1
chlordecone, 1
cypermethrin, 1
ddd, 1
dde, 1
ddt, 1
di-n-hexyl phthalate, 1
di-n-pentyl phthalate, 1
di-n-propylphthalate, 1
dibromochloropropane, 1
dibutyl phthalate, 1
dicofol, 1
dicyclohexyl phthalate, 1
dieldrin, 1
diethyl phthalate, 1
diethylhexyl adipate, 1
diethylhexyl phthalate, 1
endosulfan, 1
endrin, 1
esfenvalerate, 1
fenvalerate, 1
heptachlor, 1
heptachlor epoxide, 1
hexachlorobenzene, 1
malathion, 1
mancozeb, 1
maneb, 1
methomyl, 1
methoxychlor, 1
metiram, 1
metribuzin, 1
mirex, 1
nitrofen, 1
nonylphenol, 1
octachlorostyrene, 1
oxychlordane, 1
parathion, 1
pentachlorophenol, 1
permethrin, 1
simazine, 1
styrene, 1
toxaphene, 1
trans-nonachlor, 1
trifluralin, 1
vinclozolin, 1
zineb, 1
ziram, 1

digoxin, 1
dinophysistoxin 1, 1
dinophysistoxin 4, 1
diterpenoids, 1
domesticine, 1
domoic acid, 1
echimidine, 1
echistatin, 1
eledoisin, 1
ellipticine, 1
emindole sb, 1
enanthotoxin, 1
enniatin b, 1
enniatin d, 1
epibatidine, 1
ergocornine, 1
