"phrase", "occurances"
others, 16
alkaloids, 4
gambieric acid, 4
peptides, 4
acid a, 3
cyclic polyethers, 3
neurotoxins, 2
okadaic acid, 2
saxitoxin, 2
terpenoids, 2
10-deacetylbaccatin iii, 1
11-deoxytetrodotoxin, 1
19-bromoaplysiatoxin, 1
abrin, 1
acanthifolicin, 1
aconine, 1
aconitine, 1
acromelic acid, 1
adolapin, 1
aflatoxin b1, 1
aflatoxin b2, 1
aflatoxin g1, 1
aflatoxin g2, 1
aflatoxin m1, 1
aflatoxins, 1
aflatrem, 1
agatoxins, 1
agelenin, 1
agitoxin 1, 1
agroclavine, 1
allopumiliotoxin 267a, 1
alpha-amanitin, 1
alpha-antiarin, 1
alpha-bungarotoxin, 1
alpha-chaconine, 1
alpha-ergocryptine, 1
alpha-latrotoxin, 1
alpha-pompilidotoxin, 1
alpha-zearalanol, 1
alpha-zearalenol, 1
alternariol, 1
amnesic shellfish, 1
shellfish poisoningasp, 1
amygdalin, 1
anatoxin a, 1
anatoxin as, 1
anatoxins, 1
anisatin, 1
apamine, 1
aplysiatoxin, 1
aplysiatoxins, 1
arenobufagin, 1
argiopinin i, 1
argiopinin ii, 1
argiopinin iii, 1
argiopinins, 1
argiotoxin 659, 1
aristolochic acid, 1
asebotoxin ii, 1
atropine, 1
azaspiracid, 1
batrachotoxin, 1
batrachotoxinin a, 1
beauvericin, 1
bee venoms, 1
bestoxin, 1
beta-bungarotoxin, 1
beta-ergocryptine, 1
beta-pompilidotoxin, 1
beta-zearalenol, 1
bicuculline, 1
bombolitin i, 1
botrocetin, 1
brevetoxin a, 1
brevetoxin b, 1
brevetoxin b1, 1
brevetoxin b2, 1
brevetoxin c, 1
brucine, 1
bufalin, 1
bufotalin, 1
bufotenine, 1
bufotoxins, 1
c-curarine, 1
c-toxiferine i, 1
calciseptine, 1
calycanthine, 1
carbamate derivatives, 1
cardiac glycosides, 1
cardiotoxin iii, 1
caribbean ciguatoxin, 1
ciguatoxin 1, 1
caribenolide i, 1
cephalostatin 1, 1
cerberin, 1
charybdotoxin, 1
chelerythrine, 1
chelidonine, 1
cicutoxin, 1
ciguatera fish, 1
fish poisoningcfp, 1
ciguatoxin 4a, 1
ciguatoxin i, 1
cinobufotalin, 1
citreoviridin, 1
citrinin, 1
clitidine, 1
colchicine, 1
conhydrine, 1
coniine, 1
contulakin g, 1
convallatoxin, 1
convalloside, 1
coprine, 1
coriamyrtin, 1
crotalase, 1
